epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
16,3904.01,1.16606,1.36906,1.36197,0.47174,0.392,0.35415,0.18449,1.91717,3.1262,1.4602,0.0016625,0.0016625,0.0016625
17,4119.64,1.12982,1.34734,1.35158,0.35961,0.496,0.42384,0.25163,1.64539,2.302,1.29273,0.00164404,0.00164404,0.00164404
18,4334,1.09106,1.31496,1.32564,0.34807,0.592,0.38263,0.21201,1.82182,2.28437,1.31696,0.001626,0.001626,0.001626
19,4551.67,1.0974,1.32143,1.32482,0.42297,0.47501,0.43631,0.23644,1.81261,2.16629,1.36221,0.001604,0.001604,0.001604
20,4766.26,1.10315,1.33211,1.32867,0.4866,0.48,0.44888,0.23336,1.82964,2.42701,1.38115,0.00158659,0.00158659,0.00158659
21,4980.47,1.10624,1.32189,1.34164,0.57695,0.352,0.41859,0.23158,2.02023,2.50929,1.42554,0.00156484,0.00156484,0.00156484
22,5195.39,1.05626,1.30313,1.30326,0.46,0.504,0.46484,0.23784,1.93095,2.33345,1.43515,0.00154804,0.00154804,0.00154804
23,5411.76,1.06641,1.25994,1.31279,0.52328,0.52,0.46911,0.27342,1.63894,2.12063,1.27323,0.00152652,0.00152652,0.00152652
24,5625.87,1.08082,1.35349,1.31713,0.48,0.512,0.4869,0.28089,1.65644,2.49511,1.27314,0.001505,0.001505,0.001505
25,5840.77,1.02155,1.23745,1.28402,0.45076,0.488,0.41835,0.24461,1.79298,2.31085,1.3404,0.00148903,0.00148903,0.00148903
26,6053.55,1.04413,1.23696,1.29405,0.48594,0.472,0.45021,0.25843,1.86689,2.76439,1.39745,0.00146774,0.00146774,0.00146774
27,6266.49,1.01863,1.21249,1.27861,0.54983,0.416,0.44485,0.23995,1.85246,2.30468,1.38207,0.00144645,0.00144645,0.00144645
28,6479.11,0.99842,1.20186,1.27374,0.39465,0.608,0.48717,0.26881,1.91762,1.97067,1.39902,0.00143128,0.00143128,0.00143128
29,6693.39,1.02715,1.19974,1.28069,0.62687,0.55106,0.53408,0.34631,1.73323,1.96234,1.32089,0.00141021,0.00141021,0.00141021
30,6910.9,0.96802,1.17472,1.25074,0.44135,0.52,0.47515,0.24241,2.12998,2.45471,1.59045,0.00138915,0.00138915,0.00138915
31,7116.98,0.97873,1.18494,1.25553,0.52224,0.392,0.45916,0.27863,1.78192,1.98984,1.32104,0.00136809,0.00136809,0.00136809
32,7322.75,1.00019,1.1505,1.27422,0.51644,0.48701,0.44535,0.2429,2.0576,2.37332,1.42084,0.00135389,0.00135389,0.00135389
33,7526.97,0.9692,1.11453,1.24266,0.33176,0.512,0.33083,0.14764,2.20289,2.49467,1.54369,0.00133305,0.00133305,0.00133305
34,7730.86,0.98325,1.12735,1.25455,0.54868,0.544,0.46026,0.21836,1.91858,2.02549,1.44976,0.00131221,0.00131221,0.00131221
35,7938.93,0.94788,1.10339,1.23771,0.50874,0.576,0.57157,0.33795,1.65068,1.90225,1.26351,0.00129137,0.00129137,0.00129137
36,8144.85,0.95039,1.10562,1.22889,0.60242,0.48489,0.5391,0.27236,2.01116,1.99803,1.41484,0.00127813,0.00127813,0.00127813
37,8350.44,0.93641,1.07781,1.22879,0.56185,0.53347,0.50116,0.27903,1.84107,2.05094,1.31804,0.0012575,0.0012575,0.0012575
38,8555.42,0.95214,1.09325,1.23515,0.61974,0.528,0.48178,0.25227,1.8216,1.9612,1.33913,0.00123687,0.00123687,0.00123687
39,8761.32,0.91914,1.10549,1.2244,0.47924,0.592,0.47588,0.26292,1.96679,1.91169,1.48694,0.00121625,0.00121625,0.00121625
40,8965.13,0.92419,1.06011,1.22985,0.55557,0.54005,0.46848,0.23689,2.2189,2.15048,1.56817,0.00120392,0.00120392,0.00120392
41,9170.06,0.93791,1.08942,1.23023,0.46863,0.584,0.442,0.24565,1.76236,2.39543,1.30919,0.00118351,0.00118351,0.00118351
42,9375.34,0.92983,1.09337,1.21521,0.54643,0.624,0.53263,0.32624,1.71025,2.05018,1.32878,0.00116309,0.00116309,0.00116309
43,9584.8,0.88835,1.02539,1.19956,0.57601,0.408,0.36057,0.18796,1.85877,2.54126,1.36966,0.00114268,0.00114268,0.00114268
44,9790,0.92489,1.06955,1.22333,0.48382,0.48,0.34868,0.17001,2.20398,2.4242,1.57508,0.00112227,0.00112227,0.00112227
45,9994.39,0.89533,1.00996,1.20218,0.56792,0.528,0.51156,0.3095,1.83569,2.18858,1.37153,0.00111102,0.00111102,0.00111102
46,10198.4,0.90166,1.03221,1.20045,0.61387,0.52,0.50669,0.29559,1.63259,2.03292,1.26538,0.00109082,0.00109082,0.00109082
47,10401.5,0.87424,1.00196,1.18552,0.46269,0.53734,0.41667,0.21968,1.96169,2.50738,1.46297,0.00107061,0.00107061,0.00107061
48,10605.5,0.86905,0.9966,1.19274,0.58085,0.56,0.52827,0.29718,1.87684,1.93464,1.41434,0.00105041,0.00105041,0.00105041
49,10809.8,0.86193,0.98497,1.18641,0.46564,0.56,0.42488,0.23922,1.84286,2.28944,1.36667,0.0010302,0.0010302,0.0010302
