epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,403.77,1.42108,2.45152,1.22292,0.24042,0.288,0.19275,0.08472,1.896,3.93329,1.25943,0.000664,0.000664,0.000664
2,800.143,1.47917,1.67776,1.26659,0.19258,0.32,0.1958,0.09469,1.9285,3.3186,1.35169,0.0013142,0.0013142,0.0013142
3,1190.7,1.53365,1.49305,1.30163,0.65416,0.504,0.53485,0.24568,1.68535,2.3749,1.23565,0.0019479,0.0019479,0.0019479
4,1580.56,1.49715,1.39423,1.28006,0.38448,0.456,0.33886,0.17037,1.81722,2.56483,1.33064,0.00192575,0.00192575,0.00192575
5,1969.64,1.40768,1.27629,1.23195,0.29968,0.504,0.32884,0.14028,1.9073,2.53221,1.35049,0.001901,0.001901,0.001901
